Table 1/2: Legal Demands,,,,,,,,,,,,,,,
Time period start,Country,Court Orders,Other legal demands,Combined requests,Court orders compliance rate,Other legal demands compliance rate,Combined compliance rate,Court orders accounts specified,Other legal demands accounts specified,Combined accounts specified,Combined accounts withheld,Combined tweets withheld,Court orders accounts TOS,Other legal demands accounts TOS,Combined accounts TOS
2018-07-01,Pakistan,1,192,193,NULL,NULL,NULL,0,0,2349,0,0,0,0,204
2018-07-01,Panama,32,1,33,NULL,NULL,NULL,0,0,51,0,0,0,0,0
2018-07-01,Philippines,0,1,1,NULL,NULL,NULL,0,0,2,0,0,0,0,2
2018-07-01,Poland,0,3,3,NULL,NULL,NULL,0,0,5,0,0,0,0,0
2018-07-01,Qatar,0,3,3,NULL,NULL,NULL,0,0,12,0,0,0,0,1
2018-07-01,Russia,316,3028,3344,NULL,NULL,NULL,0,0,3391,15,1441,0,0,1124
2018-07-01,Saudi Arabia,0,6,6,NULL,NULL,NULL,0,0,6,0,0,0,0,3
2018-07-01,Slovenia,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,0
2018-07-01,South Korea,53,253,306,NULL,NULL,NULL,0,0,1712,0,0,0,0,1461
2018-07-01,Spain,4,6,10,NULL,NULL,NULL,0,0,41,0,2,0,0,11
2018-07-01,Thailand,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,0
2018-07-01,Turkey,597,4417,5014,NULL,NULL,NULL,0,0,9155,72,355,0,0,1588
2018-07-01,Ukraine,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,0
2018-07-01,United Arab Emirates,0,112,112,NULL,NULL,NULL,0,0,2155,0,0,0,0,1994
2018-07-01,United Kingdom,3,43,46,NULL,NULL,NULL,0,0,90,0,1,0,0,23
2018-07-01,United States,2,81,83,NULL,NULL,NULL,0,0,303,0,0,0,0,245
2018-07-01,Worldwide,0,0,0,NULL,NULL,NULL,0,0,0,0,0,0,0,0
2018-01-01,Argentina,0,10,10,NULL,NULL,NULL,0,0,10,0,0,0,0,0
2018-01-01,Australia,1,6,7,NULL,NULL,NULL,0,0,9,0,10,0,0,0
2018-01-01,Austria,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,0
2018-01-01,Azerbaijan,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,1
2018-01-01,Bahrain,0,2,2,NULL,NULL,NULL,0,0,2,0,0,0,0,0
2018-01-01,Brazil,15,27,42,NULL,NULL,NULL,0,0,89,0,52,0,0,26
2018-01-01,Canada,0,8,8,NULL,NULL,NULL,0,0,8,0,0,0,0,4
2018-01-01,Colombia,0,2,2,NULL,NULL,NULL,0,0,2,0,0,0,0,0
2018-01-01,Dominican Republic,0,3,3,NULL,NULL,NULL,0,0,3,0,0,0,0,0
2018-01-01,Ecuador,2,2,4,NULL,NULL,NULL,0,0,5,0,0,0,0,2
2018-01-01,France,2,131,133,NULL,NULL,NULL,0,0,313,0,55,0,0,160
2018-01-01,Germany,2,31,33,NULL,NULL,NULL,0,0,54,0,66,0,0,8
2018-01-01,Greece,0,1,1,NULL,NULL,NULL,0,0,1,0,0,0,0,1
2018-01-01,India,9,237,246,NULL,NULL,NULL,0,0,1694,19,498,0,0,142
2018-01-01,Indonesia,0,189,189,NULL,NULL,NULL,0,0,1683,0,0,0,0,522
2018-01-01,Ireland,0,11,11,NULL,NULL,NULL,0,0,60,0,51,0,0,3
2018-01-01,Israel,0,3,3,NULL,NULL,NULL,0,0,42,22,0,0,0,11
2018-01-01,Italy,0,6,6,NULL,NULL,NULL,0,0,6,0,0,0,0,3
2018-01-01,Japan,9,187,196,NULL,NULL,NULL,0,0,1101,2,82,0,0,482
2018-01-01,Kazakhstan,1,1,2,NULL,NULL,NULL,0,0,6,0,0,0,0,1
2018-01-01,Kuwait,0,3,3,NULL,NULL,NULL,0,0,3,0,0,0,0,1
2018-01-01,Lebanon,0,3,3,NULL,NULL,NULL,0,0,3,0,0,0,0,0
2018-01-01,Malaysia,0,12,12,NULL,NULL,NULL,0,0,29,0,0,0,0,20
2018-01-01,Mexico,0,2,2,NULL,NULL,NULL,0,0,4,0,0,0,0,1
2018-01-01,Netherlands,0,3,3,NULL,NULL,NULL,0,0,4,0,4,0,0,3
2018-01-01,Oman,0,3,3,NULL,NULL,NULL,0,0,35,0,0,0,0,8
2018-01-01,Pakistan,3,240,243,NULL,NULL,NULL,0,0,3004,0,0,0,0,141
2018-01-01,Panama,3,1,4,NULL,NULL,NULL,0,0,4,0,0,0,0,0
2018-01-01,Poland,0,3,3,NULL,NULL,NULL,0,0,14,0,0,0,0,2
2018-01-01,Russia,56,1585,1641,NULL,NULL,NULL,0,0,2053,59,357,0,0,764
